WAVE,FLUX,ERR,BGFLUX
9656.367,3.2788206E-16,1.5020429E-17,3.0894246E-16
9660.581,3.536624E-16,1.5597662E-17,3.6644842E-16
9664.795,3.142877E-16,1.5766028E-17,4.318114E-16
9669.01,3.104783E-16,1.6242062E-17,5.1179626E-16
9673.224,3.4155537E-16,1.7056314E-17,6.105908E-16
9677.438,3.7059896E-16,1.7112569E-17,5.6104826E-16
9681.652,2.9716404E-16,1.7066318E-17,6.2986063E-16
9685.867,3.349085E-16,1.7058703E-17,5.582876E-16
9690.081,3.937893E-16,1.7490509E-17,5.4666464E-16
9694.295,3.6646518E-16,1.7691143E-17,6.084756E-16
9698.51,3.2657445E-16,1.758306E-17,6.236106E-16
9702.724,3.555771E-16,1.7745544E-17,5.996493E-16
9706.938,3.3104925E-16,1.7176672E-17,5.0608265E-16
9711.152,3.7653426E-16,1.825968E-17,6.395909E-16
9715.366,3.383272E-16,1.8802151E-17,7.849642E-16
9719.581,3.3103485E-16,1.8511716E-17,7.1864885E-16
9723.795,3.3452468E-16,1.8299482E-17,6.5974025E-16
9728.01,3.4663076E-16,1.770341E-17,5.1054953E-16
9732.224,3.0808979E-16,1.7308883E-17,4.72494E-16
9736.4375,3.7964925E-16,1.7885082E-17,4.7179227E-16
9740.652,3.55801E-16,1.785317E-17,4.832672E-16
9744.866,3.3427822E-16,1.754409E-17,4.3670893E-16
9749.081,3.5018166E-16,1.7126035E-17,3.247997E-16
9753.295,3.3687826E-16,1.6740607E-17,2.5735455E-16
9757.509,3.259987E-16,1.6872435E-17,2.7684147E-16
9761.724,3.2875704E-16,1.6926064E-17,2.6257574E-16
9765.9375,3.3390851E-16,1.712508E-17,2.6901917E-16
9770.152,3.505755E-16,1.7285717E-17,2.5284143E-16
9774.366,3.4516158E-16,1.7267344E-17,2.4112315E-16
9778.58,3.355094E-16,1.834242E-17,4.2106325E-16
9782.795,3.633928E-16,2.0905221E-17,8.5691015E-16
9787.009,3.3334844E-16,2.2414097E-17,1.1859103E-15
9791.224,3.6619519E-16,2.3319523E-17,1.3137606E-15
9795.4375,3.444455E-16,2.2740598E-17,1.1900429E-15
9799.651,3.3198993E-16,2.070386E-17,7.605469E-16
9803.866,3.9008096E-16,2.0344562E-17,5.835316E-16
9808.08,3.8183321E-16,1.9997965E-17,5.0265E-16
9812.295,3.5847657E-16,1.9820005E-17,4.724619E-16
9816.509,3.410716E-16,1.9735914E-17,4.6153364E-16
9820.723,3.4648007E-16,1.9509571E-17,3.8440192E-16
9824.9375,3.2810793E-16,1.9478204E-17,3.8509053E-16
9829.151,3.2725957E-16,1.9610298E-17,3.8559735E-16
9833.366,3.5164202E-16,1.960203E-17,3.2593997E-16
9837.58,3.0710328E-16,2.0039575E-17,4.3443065E-16
9841.794,3.6583287E-16,2.0946149E-17,4.884382E-16
9846.009,3.4802797E-16,2.1522268E-17,5.4525104E-16
9850.223,3.0005716E-16,2.1311754E-17,5.3642305E-16
9854.4375,3.2653464E-16,2.1067188E-17,4.4319456E-16
9858.651,3.7639325E-16,2.1215586E-17,4.0997967E-16
9862.866,3.0873978E-16,2.2905012E-17,7.818573E-16
9867.08,2.7558278E-16,2.4746436E-17,1.1550991E-15
9871.294,3.1277697E-16,2.5344615E-17,1.1906315E-15
9875.509,3.156969E-16,2.478219E-17,1.0446202E-15
9879.723,3.1636622E-16,2.3060892E-17,6.775691E-16
